n,Left_Rectangle_Result,Right_Rectangle_Result,Mid_Rectangle_Result,Trapezoidal_Result,Simpson_Result,Left_Rectangle_Time,Right_Rectangle_Time,Mid_Rectangle_Time,Trapezoidal_Time,Simpson_Time,Left_Rectangle_Error,Right_Rectangle_Error,Mid_Rectangle_Error,Trapezoidal_Error,Simpson_Error
10,5.78846,5.78846,5.91017,5.78846,5.86947,20341,1877,1013,587,445,0.0811482,0.0811399,0.0405608,0.081144,0.000134948
100,5.86879,5.86879,5.87001,5.86879,5.8696,1710,3234,2365,1323,1516,0.000812147,0.000811324,0.000405867,0.000811735,1.15484e-08
1000,5.8696,5.8696,5.86961,5.8696,5.8696,11625,11297,13217,10472,11087,8.15852e-06,8.07624e-06,4.05869e-06,8.11738e-06,1.15197e-12
10000,5.8696,5.8696,5.8696,5.8696,5.8696,118116,103759,127768,103677,107477,8.52877e-08,7.70599e-08,4.05869e-08,8.11738e-08,0
100000,5.8696,5.8696,5.8696,5.8696,5.8696,1077798,1035417,1133686,1169966,1176237,1.22313e-09,4.00352e-10,4.05835e-10,8.1174e-10,7.01661e-14
1000000,5.8696,5.8696,5.8696,5.8696,5.8696,13933248,11911671,12625023,10612657,11107674,4.91633e-11,3.3114e-11,4.0421e-12,8.02469e-12,4.88498e-14
